year,mo,region,extent,area
2013,Feb,S,3.84,2.58
2013,Mar,S,5.02,3.49
2013,Apr,S,7.62,5.75
2013,May,S,10.92,8.49
2013,Jun,S,14.15,11.27
2013,Jul,S,16.81,13.73
2013,Aug,S,18.66,15.13
2013,Sep,S,19.39,15.28
2013,Oct,S,19.02,15.13
2013,Nov,S,16.87,12.77
2013,Dec,S,11.85,8.34
2014,Jan,N,13.65,12.1
2014,Feb,N,14.42,12.56
2014,Mar,N,14.76,12.95
2014,Apr,N,14.09,12.43
2014,May,N,12.7,11.05
2014,Jun,N,11.03,8.76
2014,Jul,N,8.11,5.96
2014,Aug,N,6.08,4.37
2014,Sep,N,5.22,3.74
2014,Oct,N,7.23,5.7
2014,Nov,N,10.11,8.75
2014,Dec,N,12.35,10.89
2014,Jan,S,6.33,4.38
2014,Feb,S,3.84,2.65
2014,Mar,S,4.9,3.32
2014,Apr,S,8.34,6.41
2014,May,S,11.52,9.03
2014,Jun,S,14.69,12.06
2014,Jul,S,17.11,13.95
2014,Aug,S,18.91,15.1
2014,Sep,S,19.76,15.75
2014,Oct,S,19,14.83
2014,Nov,S,16.39,12.26
2014,Dec,S,11.93,8.21
2015,Jan,N,13.6,12.17
2015,Feb,N,14.4,12.85
2015,Mar,N,14.37,12.78
2015,Apr,N,13.89,12.33
2015,May,N,12.47,10.9
2015,Jun,N,10.88,8.7
2015,Jul,N,8.38,5.66
2015,Aug,N,5.6,3.63
2015,Sep,N,4.62,3.42
2015,Oct,N,6.97,5.49
2015,Nov,N,9.85,8.48
2015,Dec,N,12.04,10.64
2015,Jan,S,6.85,4.34
2015,Feb,S,3.8,2.54
2015,Mar,S,4.96,3.45
2015,Apr,S,8.37,6.37
2015,May,S,11.72,9.21
2015,Jun,S,14.47,11.48
2015,Jul,S,16.78,13.45
2015,Aug,S,17.75,14.02
2015,Sep,S,18.44,14.45
2015,Oct,S,18.41,14.36
2015,Nov,S,16.18,11.9
2015,Dec,S,10.66,7.09
2016,Jan,N,13.46,11.8
2016,Feb,N,14.2,12.43
2016,Mar,N,14.4,12.61
2016,Apr,N,13.68,11.98
2016,May,N,11.92,10.25
2016,Jun,N,10.41,8.21
2016,Jul,N,7.94,5.37
2016,Aug,N,5.37,3.31
2016,Sep,N,4.53,2.91
2016,Oct,N,6.08,4.4
2016,Nov,N,8.66,7.01
2016,Dec,N,11.46,9.62
2016,Jan,S,4.69,3.03
2016,Feb,S,2.79,1.86
2016,Mar,S,4.07,2.77
2016,Apr,S,7.22,5.38
2016,May,S,10.1,7.91
2016,Jun,S,13.24,10.61
2016,Jul,S,16.02,12.55
2016,Aug,S,17.89,13.98
2016,Sep,S,18.15,13.86
2016,Oct,S,17.46,12.94
2016,Nov,S,14.22,9.84
2016,Dec,S,8.28,5.51
2017,Jan,N,13.19,11.37
2017,Feb,N,14.12,12.32
2017,Mar,N,14.29,12.61
2017,Apr,N,13.75,12.26
2017,May,N,12.63,11.01
2017,Jun,N,10.76,8.63
2017,Jul,N,7.94,5.65
2017,Aug,N,5.48,3.64
2017,Sep,N,4.82,3.35
2017,Oct,N,6.77,5.3
2017,Nov,N,9.49,8.08
2017,Dec,N,11.74,10.26
2017,Jan,S,3.78,2.56
2017,Feb,S,2.29,1.64
2017,Mar,S,2.7,1.83
2017,Apr,S,5.44,3.93
2017,May,S,9.01,6.83
2017,Jun,S,12.41,9.8
2017,Jul,S,15.3,12.28
2017,Aug,S,17.22,13.62
2017,Sep,S,17.91,13.92
2017,Oct,S,17.78,13.45
2017,Nov,S,15.11,10.91
2017,Dec,S,9.48,6.23
2018,Jan,N,13.08,11.7
2018,Feb,N,13.97,12.31
2018,Mar,N,14.3,12.69
2018,Apr,N,13.7,12.28
2018,May,N,12.23,10.81
2018,Jun,N,10.78,8.79
2018,Jul,N,8.27,5.76
2018,Aug,N,5.61,3.9
2018,Sep,N,4.79,3.35
2018,Oct,N,6.13,4.59
2018,Nov,N,9.82,8.43
2018,Dec,N,11.86,10.45
2018,Jan,S,4.21,2.69
2018,Feb,S,2.33,1.63
2018,Mar,S,3.54,2.31
2018,Apr,S,6.03,4.15
2018,May,S,9.32,7.15
2018,Jun,S,12.89,10.23
2018,Jul,S,15.7,12.49
2018,Aug,S,17.42,14.01
2018,Sep,S,17.96,14.2
2018,Oct,S,17.73,13.99
2018,Nov,S,15.1,10.75
2018,Dec,S,9.19,5.59
2019,Jan,N,13.57,12.14
2019,Feb,N,14.39,12.76
2019,Mar,N,14.57,12.89
2019,Apr,N,13.43,11.9
2019,May,N,12.19,10.5
2019,Jun,N,10.59,8.32
2019,Jul,N,7.59,5.13
2019,Aug,N,5.03,3.24
2019,Sep,N,4.36,3.17
2019,Oct,N,5.73,4.53
2019,Nov,N,9.35,7.98
2019,Dec,N,11.9,10.52
2019,Jan,S,3.87,2.66
2019,Feb,S,2.65,1.81
2019,Mar,S,3.17,2.1
2019,Apr,S,5.72,4.18
2019,May,S,8.85,6.84
2019,Jun,S,12.25,9.75
2019,Jul,S,15.3,12.33
2019,Aug,S,17.48,13.99
2019,Sep,S,18.33,14.6
2019,Oct,S,17.94,13.9
2019,Nov,S,14.99,11.19
2019,Dec,S,9.41,6.59
2020,Jan,N,13.64,12.15
2020,Feb,N,14.64,12.95
2020,Mar,N,14.73,13.03
2020,Apr,N,13.62,12.02
2020,May,N,12.34,10.51
2020,Jun,N,10.59,8.41
2020,Jul,N,7.29,5.07
2020,Aug,N,5.07,3.1
2020,Sep,N,4,2.83
2020,Oct,N,5.33,4.11
2020,Nov,N,8.99,7.53
2020,Dec,N,11.73,10.16
2020,Jan,S,4.6,3.09
2020,Feb,S,2.92,1.83
2020,Mar,S,4,2.59
2020,Apr,S,6.66,4.81
2020,May,S,9.87,7.61
2020,Jun,S,13.27,10.59
2020,Jul,S,15.72,12.58
2020,Aug,S,17.76,14.42
2020,Sep,S,18.84,15.09
2020,Oct,S,18.49,14.6
2020,Nov,S,16.23,11.88
2020,Dec,S,10.57,6.61
2021,Jan,N,13.48,11.71
2021,Feb,N,14.39,12.71
2021,Mar,N,14.64,12.91
2021,Apr,N,13.84,12.13
2021,May,N,12.66,10.82
2021,Jun,N,10.71,8.38
2021,Jul,N,7.69,5.55
2021,Aug,N,5.75,3.77
2021,Sep,N,4.92,3.43
2021,Oct,N,6.77,5.41
2021,Nov,N,9.81,8.53
2021,Dec,N,12.19,10.69
2021,Jan,S,4.67,2.85
2021,Feb,S,2.83,1.68
2021,Mar,S,4.45,2.79
2021,Apr,S,7.08,5.26
2021,May,S,10.33,8.15
2021,Jun,S,13.46,10.98
2021,Jul,S,16.38,13.35
2021,Aug,S,18.13,14.64
2021,Sep,S,18.45,14.35
2021,Oct,S,17.63,13.29
2021,Nov,S,14.95,10.34
2021,Dec,S,9.2,5.45
