Year,Measure,Value
1966,Upper,-0.042
1967,Upper,-0.052
1968,Upper,-0.097
1969,Upper,0.05
1970,Upper,-0.009
1971,Upper,-0.163
1972,Upper,-0.04
1973,Upper,0.082
1974,Upper,-0.197
1975,Upper,-0.134
1976,Upper,-0.227
1977,Upper,0.064
1978,Upper,-0.044
1979,Upper,0.076
1980,Upper,0.107
1981,Upper,0.153
1982,Upper,0.03
1983,Upper,0.211
1984,Upper,0.006
1985,Upper,-0.013
1986,Upper,0.067
1987,Upper,0.22
1988,Upper,0.221
1989,Upper,0.147
1990,Upper,0.33
1991,Upper,0.289
1992,Upper,0.139
1993,Upper,0.186
1994,Upper,0.247
1995,Upper,0.361
1996,Upper,0.217
1997,Upper,0.425
1998,Upper,0.578
1999,Upper,0.343
2000,Upper,0.338
2001,Upper,0.483
2002,Upper,0.538
2003,Upper,0.546
2004,Upper,0.483
2005,Upper,0.583
2006,Upper,0.544
2007,Upper,0.531
2008,Upper,0.432
2009,Upper,0.546
2010,Upper,0.603
2011,Upper,0.466
2012,Upper,0.509
2013,Upper,0.552
2014,Upper,0.616
2015,Upper,0.802
2016,Upper,0.835
2017,Upper,0.716
2018,Upper,0.636
2019,Upper,0.776
1850,Lower,-0.425
1851,Lower,-0.274
1852,Lower,-0.28
1853,Lower,-0.321
1854,Lower,-0.301
1855,Lower,-0.324
1856,Lower,-0.413
1857,Lower,-0.512
1858,Lower,-0.521
1859,Lower,-0.34
1860,Lower,-0.405
1861,Lower,-0.484
1862,Lower,-0.597
1863,Lower,-0.359
1864,Lower,-0.564
1865,Lower,-0.358
1866,Lower,-0.338
1867,Lower,-0.406
1868,Lower,-0.326
1869,Lower,-0.333
1870,Lower,-0.34
1871,Lower,-0.404
1872,Lower,-0.29
1873,Lower,-0.364
1874,Lower,-0.435
1875,Lower,-0.464
1876,Lower,-0.453
1877,Lower,-0.146
1878,Lower,-0.026
1879,Lower,-0.291
1880,Lower,-0.288
1881,Lower,-0.259
1882,Lower,-0.274
1883,Lower,-0.35
1884,Lower,-0.457
1885,Lower,-0.444
1886,Lower,-0.419
1887,Lower,-0.476
1888,Lower,-0.359
1889,Lower,-0.235
1890,Lower,-0.484
1891,Lower,-0.408
1892,Lower,-0.526
1893,Lower,-0.547
1894,Lower,-0.487
1895,Lower,-0.46
1896,Lower,-0.255
1897,Lower,-0.273
1898,Lower,-0.479
1899,Lower,-0.355
1900,Lower,-0.272
1901,Lower,-0.326
1902,Lower,-0.461
1903,Lower,-0.543
1904,Lower,-0.58
1905,Lower,-0.438
1906,Lower,-0.338
1907,Lower,-0.523
1908,Lower,-0.563
1909,Lower,-0.576
1910,Lower,-0.547
1911,Lower,-0.595
1912,Lower,-0.486
1913,Lower,-0.471
1914,Lower,-0.291
1915,Lower,-0.202
1916,Lower,-0.437
1917,Lower,-0.525
1918,Lower,-0.396
1919,Lower,-0.327
1920,Lower,-0.296
1921,Lower,-0.237
1922,Lower,-0.346
1923,Lower,-0.323
1924,Lower,-0.34
1925,Lower,-0.265
1926,Lower,-0.155
1927,Lower,-0.253
1928,Lower,-0.253
1929,Lower,-0.394
1930,Lower,-0.181
1931,Lower,-0.133
1932,Lower,-0.183
1933,Lower,-0.32
1934,Lower,-0.177
1935,Lower,-0.221
1936,Lower,-0.186
1937,Lower,-0.064
1938,Lower,-0.044
1939,Lower,-0.088
1940,Lower,-0.018
1941,Lower,-0.021
1942,Lower,-0.081
1943,Lower,-0.056
1944,Lower,0.094
1945,Lower,-0.017
1946,Lower,-0.113
1947,Lower,-0.098
1948,Lower,-0.101
1949,Lower,-0.119
1950,Lower,-0.216
1951,Lower,-0.091
1952,Lower,-0.01
1953,Lower,0.06
1954,Lower,-0.166
1955,Lower,-0.222
1956,Lower,-0.297
1957,Lower,-0.035
1958,Lower,0.02
1959,Lower,-0.008
1960,Lower,-0.073
1961,Lower,0.009
1962,Lower,-0.012
1963,Lower,0.022
1964,Lower,-0.246
1965,Lower,-0.163
1966,Lower,-0.09
1967,Lower,-0.093
1968,Lower,-0.133
1969,Lower,0.014
1970,Lower,-0.048
1971,Lower,-0.204
1972,Lower,-0.08
1973,Lower,0.051
1974,Lower,-0.227
1975,Lower,-0.163
1976,Lower,-0.255
1977,Lower,0.034
1978,Lower,-0.077
1979,Lower,0.041
1980,Lower,0.077
1981,Lower,0.125
1982,Lower,-0.011
1983,Lower,0.174
1984,Lower,-0.033
1985,Lower,-0.048
1986,Lower,0.024
1987,Lower,0.171
1988,Lower,0.175
1989,Lower,0.091
1990,Lower,0.267
1991,Lower,0.22
1992,Lower,0.071
1993,Lower,0.112
1994,Lower,0.174
1995,Lower,0.289
1996,Lower,0.146
1997,Lower,0.356
1998,Lower,0.5
1999,Lower,0.265
2000,Lower,0.259
2001,Lower,0.406
2002,Lower,0.463
2003,Lower,0.473
2004,Lower,0.413
2005,Lower,0.507
2006,Lower,0.468
2007,Lower,0.457
2008,Lower,0.355
2009,Lower,0.465
2010,Lower,0.523
2011,Lower,0.393
2012,Lower,0.437
2013,Lower,0.478
2014,Lower,0.545
2015,Lower,0.73
2016,Lower,0.762
2017,Lower,0.636
2018,Lower,0.56
2019,Lower,0.7
