UTC Time,Measure,Region,Value
01 12 1983,Area,South,6.71
01 12 1983,Extent,Combined,23.69
01 12 1983,Area,Combined,17.34
01 12 1984,Extent,North,12.99
01 12 1984,Extent,South,10.47
01 12 1984,Area,North,10.27
01 12 1984,Area,South,6.96
01 12 1984,Extent,Combined,23.46
01 12 1984,Area,Combined,17.23
01 12 1985,Extent,North,13.05
01 12 1985,Extent,South,11.35
01 12 1985,Area,North,10.24
01 12 1985,Area,South,7.46
01 12 1985,Extent,Combined,24.4
01 12 1985,Area,Combined,17.7
01 12 1986,Extent,North,13.22
01 12 1986,Extent,South,9.65
01 12 1986,Area,North,10.53
01 12 1986,Area,South,6.49
01 12 1986,Extent,Combined,22.87
01 12 1986,Area,Combined,17.02
01 12 1987,Extent,North,-9999
01 12 1987,Extent,South,-9999
01 12 1987,Area,North,-9999
01 12 1987,Area,South,-9999
01 12 1987,Extent,Combined,-19998
01 12 1987,Area,Combined,-19998
01 12 1988,Extent,North,13.63
01 12 1988,Extent,South,11.06
01 12 1988,Area,North,11.99
01 12 1988,Area,South,7.4
01 12 1988,Extent,Combined,24.69
01 12 1988,Area,Combined,19.39
01 12 1989,Extent,North,13.39
01 12 1989,Extent,South,9.84
01 12 1989,Area,North,11.61
01 12 1989,Area,South,6.7
01 12 1989,Extent,Combined,23.23
01 12 1989,Area,Combined,18.31
01 12 1990,Extent,North,13.11
01 12 1990,Extent,South,9.95
01 12 1990,Area,North,11.47
01 12 1990,Area,South,6.73
01 12 1990,Extent,Combined,23.06
01 12 1990,Area,Combined,18.2
01 12 1991,Extent,North,12.95
01 12 1991,Extent,South,10.19
01 12 1991,Area,North,11.19
01 12 1991,Area,South,6.8
01 12 1991,Extent,Combined,23.14
01 12 1991,Area,Combined,17.99
01 12 1992,Extent,North,13.41
01 12 1992,Extent,South,10.21
01 12 1992,Area,North,11.72
01 12 1992,Area,South,6.18
01 12 1992,Extent,Combined,23.62
01 12 1992,Area,Combined,17.9
01 12 1993,Extent,North,13.32
01 12 1993,Extent,South,9.93
01 12 1993,Area,North,11.48
01 12 1993,Area,South,6.67
01 12 1993,Extent,Combined,23.25
01 12 1993,Area,Combined,18.15
01 12 1994,Extent,North,13.27
01 12 1994,Extent,South,10.1
01 12 1994,Area,North,11.49
01 12 1994,Area,South,7.11
01 12 1994,Extent,Combined,23.37
01 12 1994,Area,Combined,18.6
01 12 1995,Extent,North,12.92
01 12 1995,Extent,South,10.62
01 12 1995,Area,North,11.09
01 12 1995,Area,South,7.19
01 12 1995,Extent,Combined,23.54
01 12 1995,Area,Combined,18.28
01 12 1996,Extent,North,12.86
01 12 1996,Extent,South,9.65
01 12 1996,Area,North,11.03
01 12 1996,Area,South,6.24
01 12 1996,Extent,Combined,22.51
01 12 1996,Area,Combined,17.27
01 12 1997,Extent,North,13.08
01 12 1997,Extent,South,10.29
01 12 1997,Area,North,11.24
01 12 1997,Area,South,6.99
01 12 1997,Extent,Combined,23.37
01 12 1997,Area,Combined,18.23
01 12 1998,Extent,North,12.76
01 12 1998,Extent,South,10.52
01 12 1998,Area,North,10.91
01 12 1998,Area,South,6.8
01 12 1998,Extent,Combined,23.28
01 12 1998,Area,Combined,17.71
01 12 1999,Extent,North,12.64
01 12 1999,Extent,South,10.72
01 12 1999,Area,North,10.99
01 12 1999,Area,South,6.8
01 12 1999,Extent,Combined,23.36
01 12 1999,Area,Combined,17.79
01 12 2000,Extent,North,12.64
01 12 2000,Extent,South,9.91
01 12 2000,Area,North,10.96
01 12 2000,Area,South,6.95
01 12 2000,Extent,Combined,22.55
01 12 2000,Area,Combined,17.91
01 12 2001,Extent,North,12.49
01 12 2001,Extent,South,10.35
01 12 2001,Area,North,10.55
01 12 2001,Area,South,6.36
01 12 2001,Extent,Combined,22.84
01 12 2001,Area,Combined,16.91
01 12 2002,Extent,North,12.61
01 12 2002,Extent,South,10.79
01 12 2002,Area,North,10.64
01 12 2002,Area,South,7.61
01 12 2002,Extent,Combined,23.4
01 12 2002,Area,Combined,18.25
01 12 2003,Extent,North,12.59
01 12 2003,Extent,South,10.56
01 12 2003,Area,North,10.8
01 12 2003,Area,South,7.2
01 12 2003,Extent,Combined,23.15
01 12 2003,Area,Combined,18
01 12 2004,Extent,North,12.55
01 12 2004,Extent,South,10.23
01 12 2004,Area,North,10.98
01 12 2004,Area,South,6.93
01 12 2004,Extent,Combined,22.78
01 12 2004,Area,Combined,17.91
01 12 2005,Extent,North,12.23
01 12 2005,Extent,South,9.68
01 12 2005,Area,North,10.56
01 12 2005,Area,South,6.33
01 12 2005,Extent,Combined,21.91
01 12 2005,Area,Combined,16.89
01 12 2006,Extent,North,11.95
01 12 2006,Extent,South,9.85
01 12 2006,Area,North,10.17
01 12 2006,Area,South,6.48
01 12 2006,Extent,Combined,21.8
01 12 2006,Area,Combined,16.65
01 12 2007,Extent,North,12.03
01 12 2007,Extent,South,11.98
01 12 2007,Area,North,10.18
01 12 2007,Area,South,8.38
01 12 2007,Extent,Combined,24.01
01 12 2007,Area,Combined,18.56
01 12 2008,Extent,North,12.36
01 12 2008,Extent,South,11.51
01 12 2008,Area,North,10.97
01 12 2008,Area,South,7.39
01 12 2008,Extent,Combined,23.87
01 12 2008,Area,Combined,18.36
01 12 2009,Extent,North,12.2
01 12 2009,Extent,South,10.74
01 12 2009,Area,North,10.59
01 12 2009,Area,South,7.09
01 12 2009,Extent,Combined,22.94
01 12 2009,Area,Combined,17.68
01 12 2010,Extent,North,11.83
01 12 2010,Extent,South,11.27
01 12 2010,Area,North,10.43
01 12 2010,Area,South,6.94
01 12 2010,Extent,Combined,23.1
01 12 2010,Area,Combined,17.37
01 12 2011,Extent,North,12.15
01 12 2011,Extent,South,11.2
01 12 2011,Area,North,10.63
01 12 2011,Area,South,7.4
01 12 2011,Extent,Combined,23.35
01 12 2011,Area,Combined,18.03
01 12 2012,Extent,North,12.01
01 12 2012,Extent,South,10.39
01 12 2012,Area,North,10.45
01 12 2012,Area,South,7.38
01 12 2012,Extent,Combined,22.4
01 12 2012,Area,Combined,17.83
01 12 2013,Extent,North,12.18
01 12 2013,Extent,South,11.85
01 12 2013,Area,North,10.87
01 12 2013,Area,South,8.34
01 12 2013,Extent,Combined,24.03
01 12 2013,Area,Combined,19.21
01 12 2014,Extent,North,12.35
01 12 2014,Extent,South,11.93
01 12 2014,Area,North,10.89
01 12 2014,Area,South,8.21
01 12 2014,Extent,Combined,24.28
01 12 2014,Area,Combined,19.1
01 12 2015,Extent,North,12.04
01 12 2015,Extent,South,10.66
01 12 2015,Area,North,10.64
01 12 2015,Area,South,7.09
01 12 2015,Extent,Combined,22.7
01 12 2015,Area,Combined,17.73
01 12 2016,Extent,North,11.46
01 12 2016,Extent,South,8.28
01 12 2016,Area,North,9.62
01 12 2016,Area,South,5.51
01 12 2016,Extent,Combined,19.74
01 12 2016,Area,Combined,15.13
01 12 2017,Extent,North,11.74
01 12 2017,Extent,South,9.48
01 12 2017,Area,North,10.26
01 12 2017,Area,South,6.23
01 12 2017,Extent,Combined,21.22
01 12 2017,Area,Combined,16.49
01 12 2018,Extent,North,11.86
01 12 2018,Extent,South,9.19
01 12 2018,Area,North,10.45
01 12 2018,Area,South,5.59
01 12 2018,Extent,Combined,21.05
01 12 2018,Area,Combined,16.04
01 12 2019,Extent,North,11.9
01 12 2019,Extent,South,9.41
01 12 2019,Area,North,10.52
01 12 2019,Area,South,6.59
01 12 2019,Extent,Combined,21.31
01 12 2019,Area,Combined,17.11
01 12 2020,Extent,North,11.73
01 12 2020,Extent,South,10.57
01 12 2020,Area,North,10.16
01 12 2020,Area,South,6.61
01 12 2020,Extent,Combined,22.3
01 12 2020,Area,Combined,16.77
01 12 2021,Extent,North,12.19
01 12 2021,Extent,South,9.2
01 12 2021,Area,North,10.69
01 12 2021,Area,South,5.45
01 12 2021,Extent,Combined,21.39
01 12 2021,Area,Combined,16.14
01 2 1979,Extent,North,16.18
01 2 1979,Extent,South,3.14
01 2 1979,Area,North,13.18
01 2 1979,Area,South,2.11
01 2 1979,Extent,Combined,19.32
01 2 1979,Area,Combined,15.29
01 2 1980,Extent,North,15.96
01 2 1980,Extent,South,2.82
01 2 1980,Area,North,12.9
01 2 1980,Area,South,1.85
01 2 1980,Extent,Combined,18.78
01 2 1980,Area,Combined,14.75
01 2 1981,Extent,North,15.6
01 2 1981,Extent,South,2.87
01 2 1981,Area,North,12.53
01 2 1981,Area,South,1.74
01 2 1981,Extent,Combined,18.47
01 2 1981,Area,Combined,14.27
01 2 1982,Extent,North,15.97
01 2 1982,Extent,South,3.13
01 2 1982,Area,North,12.87
01 2 1982,Area,South,1.86
01 2 1982,Extent,Combined,19.1
01 2 1982,Area,Combined,14.73
01 2 1983,Extent,North,16.01
01 2 1983,Extent,South,3.07
01 2 1983,Area,North,12.94
01 2 1983,Area,South,1.91
01 2 1983,Extent,Combined,19.08
01 2 1983,Area,Combined,14.85
01 2 1984,Extent,North,15.3
01 2 1984,Extent,South,2.68
01 2 1984,Area,North,12.26
01 2 1984,Area,South,1.75
01 2 1984,Extent,Combined,17.98
01 2 1984,Area,Combined,14.01
01 2 1985,Extent,North,15.47
01 2 1985,Extent,South,2.84
01 2 1985,Area,North,12.48
01 2 1985,Area,South,1.83
01 2 1985,Extent,Combined,18.31
01 2 1985,Area,Combined,14.31
01 2 1986,Extent,North,15.78
01 2 1986,Extent,South,3.19
01 2 1986,Area,North,12.62
01 2 1986,Area,South,2
01 2 1986,Extent,Combined,18.97
01 2 1986,Area,Combined,14.62
01 2 1987,Extent,North,16.05
01 2 1987,Extent,South,3.25
01 2 1987,Area,North,13.02
01 2 1987,Area,South,2
01 2 1987,Extent,Combined,19.3
01 2 1987,Area,Combined,15.02
01 2 1988,Extent,North,15.58
01 2 1988,Extent,South,2.89
01 2 1988,Area,North,13.57
01 2 1988,Area,South,1.9
01 2 1988,Extent,Combined,18.47
01 2 1988,Area,Combined,15.47
01 2 1989,Extent,North,15.5
01 2 1989,Extent,South,2.98
01 2 1989,Area,North,13.36
01 2 1989,Area,South,2.03
01 2 1989,Extent,Combined,18.48
01 2 1989,Area,Combined,15.39
01 2 1990,Extent,North,15.58
01 2 1990,Extent,South,3.04
01 2 1990,Area,North,13.42
01 2 1990,Area,South,2.21
01 2 1990,Extent,Combined,18.62
01 2 1990,Area,Combined,15.63
01 2 1991,Extent,North,15.25
01 2 1991,Extent,South,3.16
01 2 1991,Area,North,13.22
01 2 1991,Area,South,2.09
01 2 1991,Extent,Combined,18.41
01 2 1991,Area,Combined,15.31
01 2 1992,Extent,North,15.46
01 2 1992,Extent,South,2.84
01 2 1992,Area,North,13.58
01 2 1992,Area,South,1.86
01 2 1992,Extent,Combined,18.3
01 2 1992,Area,Combined,15.44
01 2 1993,Extent,North,15.69
01 2 1993,Extent,South,2.48
01 2 1993,Area,North,13.61
01 2 1993,Area,South,1.37
01 2 1993,Extent,Combined,18.17
01 2 1993,Area,Combined,14.98
01 2 1994,Extent,North,15.56
01 2 1994,Extent,South,3.2
01 2 1994,Area,North,13.52
01 2 1994,Area,South,2.22
01 2 1994,Extent,Combined,18.76
01 2 1994,Area,Combined,15.74
01 2 1995,Extent,North,15.23
01 2 1995,Extent,South,3.56
01 2 1995,Area,North,13.37
01 2 1995,Area,South,2.19
01 2 1995,Extent,Combined,18.79
01 2 1995,Area,Combined,15.56
01 2 1996,Extent,North,15.15
01 2 1996,Extent,South,2.98
01 2 1996,Area,North,12.98
01 2 1996,Area,South,1.77
01 2 1996,Extent,Combined,18.13
01 2 1996,Area,Combined,14.75
01 2 1997,Extent,North,15.44
01 2 1997,Extent,South,2.49
01 2 1997,Area,North,13.44
01 2 1997,Area,South,1.72
01 2 1997,Extent,Combined,17.93
01 2 1997,Area,Combined,15.16
01 2 1998,Extent,North,15.75
01 2 1998,Extent,South,2.99
01 2 1998,Area,North,13.77
01 2 1998,Area,South,1.87
01 2 1998,Extent,Combined,18.74
01 2 1998,Area,Combined,15.64
01 2 1999,Extent,North,15.31
01 2 1999,Extent,South,2.97
01 2 1999,Area,North,13.45
01 2 1999,Area,South,1.77
01 2 1999,Extent,Combined,18.28
01 2 1999,Area,Combined,15.22
01 2 2000,Extent,North,15.14
01 2 2000,Extent,South,2.91
01 2 2000,Area,North,13.09
01 2 2000,Area,South,1.72
01 2 2000,Extent,Combined,18.05
01 2 2000,Area,Combined,14.81
01 2 2001,Extent,North,15.21
01 2 2001,Extent,South,3.65
01 2 2001,Area,North,13.22
01 2 2001,Area,South,2.44
01 2 2001,Extent,Combined,18.86
01 2 2001,Area,Combined,15.66
01 2 2002,Extent,North,15.34
01 2 2002,Extent,South,2.96
01 2 2002,Area,North,13.42
01 2 2002,Area,South,1.82
01 2 2002,Extent,Combined,18.3
01 2 2002,Area,Combined,15.24
01 2 2003,Extent,North,15.19
01 2 2003,Extent,South,3.79
01 2 2003,Area,North,13.23
01 2 2003,Area,South,2.66
01 2 2003,Extent,Combined,18.98
01 2 2003,Area,Combined,15.89
01 2 2004,Extent,North,14.91
01 2 2004,Extent,South,3.58
01 2 2004,Area,North,12.94
01 2 2004,Area,South,2.36
01 2 2004,Extent,Combined,18.49
01 2 2004,Area,Combined,15.3
01 2 2005,Extent,North,14.37
01 2 2005,Extent,South,2.97
01 2 2005,Area,North,12.35
01 2 2005,Area,South,1.97
01 2 2005,Extent,Combined,17.34
01 2 2005,Area,Combined,14.32
01 2 2006,Extent,North,14.32
01 2 2006,Extent,South,2.65
01 2 2006,Area,North,12.35
01 2 2006,Area,South,1.76
01 2 2006,Extent,Combined,16.97
01 2 2006,Area,Combined,14.11
01 2 2007,Extent,North,14.51
01 2 2007,Extent,South,2.9
01 2 2007,Area,North,12.58
01 2 2007,Area,South,1.94
01 2 2007,Extent,Combined,17.41
01 2 2007,Area,Combined,14.52
01 2 2008,Extent,North,14.95
01 2 2008,Extent,South,3.89
01 2 2008,Area,North,13.21
01 2 2008,Area,South,2.4
01 2 2008,Extent,Combined,18.84
01 2 2008,Area,Combined,15.61
01 2 2009,Extent,North,14.81
01 2 2009,Extent,South,2.99
01 2 2009,Area,North,13.21
01 2 2009,Area,South,1.97
01 2 2009,Extent,Combined,17.8
01 2 2009,Area,Combined,15.18
01 2 2010,Extent,North,14.58
01 2 2010,Extent,South,3.11
01 2 2010,Area,North,12.96
01 2 2010,Area,South,2.11
01 2 2010,Extent,Combined,17.69
01 2 2010,Area,Combined,15.07
01 2 2011,Extent,North,14.36
01 2 2011,Extent,South,2.52
01 2 2011,Area,North,12.76
01 2 2011,Area,South,1.86
01 2 2011,Extent,Combined,16.88
01 2 2011,Area,Combined,14.62
01 2 2012,Extent,North,14.55
01 2 2012,Extent,South,3.55
01 2 2012,Area,North,12.72
01 2 2012,Area,South,2.19
01 2 2012,Extent,Combined,18.1
01 2 2012,Area,Combined,14.91
01 2 2013,Extent,North,14.72
01 2 2013,Extent,South,3.84
01 2 2013,Area,North,13.2
01 2 2013,Area,South,2.58
01 2 2013,Extent,Combined,18.56
01 2 2013,Area,Combined,15.78
01 2 2014,Extent,North,14.42
01 2 2014,Extent,South,3.84
01 2 2014,Area,North,12.56
01 2 2014,Area,South,2.65
01 2 2014,Extent,Combined,18.26
01 2 2014,Area,Combined,15.21
01 2 2015,Extent,North,14.4
01 2 2015,Extent,South,3.8
01 2 2015,Area,North,12.85
01 2 2015,Area,South,2.54
01 2 2015,Extent,Combined,18.2
01 2 2015,Area,Combined,15.39
01 2 2016,Extent,North,14.2
01 2 2016,Extent,South,2.79
01 2 2016,Area,North,12.43
01 2 2016,Area,South,1.86
01 2 2016,Extent,Combined,16.99
01 2 2016,Area,Combined,14.29
01 2 2017,Extent,North,14.12
01 2 2017,Extent,South,2.29
01 2 2017,Area,North,12.32
01 2 2017,Area,South,1.64
01 2 2017,Extent,Combined,16.41
01 2 2017,Area,Combined,13.96
01 2 2018,Extent,North,13.97
01 2 2018,Extent,South,2.33
01 2 2018,Area,North,12.31
01 2 2018,Area,South,1.63
01 2 2018,Extent,Combined,16.3
01 2 2018,Area,Combined,13.94
01 2 2019,Extent,North,14.39
01 2 2019,Extent,South,2.65
01 2 2019,Area,North,12.76
01 2 2019,Area,South,1.81
01 2 2019,Extent,Combined,17.04
01 2 2019,Area,Combined,14.57
01 2 2020,Extent,North,14.64
01 2 2020,Extent,South,2.92
01 2 2020,Area,North,12.95
01 2 2020,Area,South,1.83
01 2 2020,Extent,Combined,17.56
01 2 2020,Area,Combined,14.78
01 2 2021,Extent,North,14.39
01 2 2021,Extent,South,2.83
01 2 2021,Area,North,12.71
01 2 2021,Area,South,1.68
01 2 2021,Extent,Combined,17.22
01 2 2021,Area,Combined,14.39
01 3 1979,Extent,North,16.34
01 3 1979,Extent,South,4
01 3 1979,Area,North,13.21
01 3 1979,Area,South,2.66
01 3 1979,Extent,Combined,20.34
01 3 1979,Area,Combined,15.87
01 3 1980,Extent,North,16.04
01 3 1980,Extent,South,3.29
01 3 1980,Area,North,12.99
01 3 1980,Area,South,2.11
01 3 1980,Extent,Combined,19.33
01 3 1980,Area,Combined,15.1
01 3 1981,Extent,North,15.63
01 3 1981,Extent,South,3.39
01 3 1981,Area,North,12.71
01 3 1981,Area,South,2.16
01 3 1981,Extent,Combined,19.02
01 3 1981,Area,Combined,14.87
01 3 1982,Extent,North,16.04
01 3 1982,Extent,South,4.29
01 3 1982,Area,North,13.07
01 3 1982,Area,South,2.84
01 3 1982,Extent,Combined,20.33
01 3 1982,Area,Combined,15.91
01 3 1983,Extent,North,16.09
01 3 1983,Extent,South,4.02
01 3 1983,Area,North,12.93
01 3 1983,Area,South,2.62
01 3 1983,Extent,Combined,20.11
01 3 1983,Area,Combined,15.55
01 3 1984,Extent,North,15.58
01 3 1984,Extent,South,3.61
01 3 1984,Area,North,12.55
01 3 1984,Area,South,2.34
01 3 1984,Extent,Combined,19.19
01 3 1984,Area,Combined,14.89
01 3 1985,Extent,North,15.89
01 3 1985,Extent,South,3.72
01 3 1985,Area,North,12.75
01 3 1985,Area,South,2.54
01 3 1985,Extent,Combined,19.61
01 3 1985,Area,Combined,15.29
01 3 1986,Extent,North,15.91
01 3 1986,Extent,South,3.7
01 3 1986,Area,North,12.72
01 3 1986,Area,South,2.38
01 3 1986,Extent,Combined,19.61
01 3 1986,Area,Combined,15.1
01 3 1987,Extent,North,15.82
01 3 1987,Extent,South,4.11
01 3 1987,Area,North,12.83
01 3 1987,Area,South,2.75
01 3 1987,Extent,Combined,19.93
01 3 1987,Area,Combined,15.58
01 3 1988,Extent,North,15.96
01 3 1988,Extent,South,3.97
01 3 1988,Area,North,13.9
01 3 1988,Area,South,2.59
01 3 1988,Extent,Combined,19.93
01 3 1988,Area,Combined,16.49
01 3 1989,Extent,North,15.42
01 3 1989,Extent,South,3.93
01 3 1989,Area,North,13.21
01 3 1989,Area,South,2.59
01 3 1989,Extent,Combined,19.35
01 3 1989,Area,Combined,15.8
01 3 1990,Extent,North,15.87
01 3 1990,Extent,South,3.97
01 3 1990,Area,North,13.51
01 3 1990,Area,South,2.79
01 3 1990,Extent,Combined,19.84
01 3 1990,Area,Combined,16.3
01 3 1991,Extent,North,15.42
01 3 1991,Extent,South,3.81
01 3 1991,Area,North,13.42
01 3 1991,Area,South,2.65
01 3 1991,Extent,Combined,19.23
01 3 1991,Area,Combined,16.07
01 3 1992,Extent,North,15.48
01 3 1992,Extent,South,3.57
01 3 1992,Area,North,13.48
01 3 1992,Area,South,2.47
01 3 1992,Extent,Combined,19.05
01 3 1992,Area,Combined,15.95
01 3 1993,Extent,North,15.81
01 3 1993,Extent,South,3.67
01 3 1993,Area,North,13.77
01 3 1993,Area,South,2.24
01 3 1993,Extent,Combined,19.48
01 3 1993,Area,Combined,16.01
01 3 1994,Extent,North,15.55
01 3 1994,Extent,South,4.55
01 3 1994,Area,North,13.55
01 3 1994,Area,South,3.2
01 3 1994,Extent,Combined,20.1
01 3 1994,Area,Combined,16.75
01 3 1995,Extent,North,15.26
01 3 1995,Extent,South,4.63
01 3 1995,Area,North,13.34
01 3 1995,Area,South,3.01
01 3 1995,Extent,Combined,19.89
01 3 1995,Area,Combined,16.35
01 3 1996,Extent,North,15.12
01 3 1996,Extent,South,4.18
01 3 1996,Area,North,12.9
01 3 1996,Area,South,2.65
01 3 1996,Extent,Combined,19.3
01 3 1996,Area,Combined,15.55
01 3 1997,Extent,North,15.47
01 3 1997,Extent,South,3.46
01 3 1997,Area,North,13.3
01 3 1997,Area,South,2.3
01 3 1997,Extent,Combined,18.93
01 3 1997,Area,Combined,15.6
01 3 1998,Extent,North,15.6
01 3 1998,Extent,South,4.11
01 3 1998,Area,North,13.57
01 3 1998,Area,South,2.71
01 3 1998,Extent,Combined,19.71
01 3 1998,Area,Combined,16.28
01 3 1999,Extent,North,15.4
01 3 1999,Extent,South,3.98
01 3 1999,Area,North,13.54
01 3 1999,Area,South,2.58
01 3 1999,Extent,Combined,19.38
01 3 1999,Area,Combined,16.12
01 3 2000,Extent,North,15.22
01 3 2000,Extent,South,4.09
01 3 2000,Area,North,13.17
01 3 2000,Area,South,2.67
01 3 2000,Extent,Combined,19.31
01 3 2000,Area,Combined,15.84
01 3 2001,Extent,North,15.52
01 3 2001,Extent,South,4.73
01 3 2001,Area,North,13.64
01 3 2001,Area,South,3.36
01 3 2001,Extent,Combined,20.25
01 3 2001,Area,Combined,17
01 3 2002,Extent,North,15.35
01 3 2002,Extent,South,3.75
01 3 2002,Area,North,13.42
01 3 2002,Area,South,2.36
01 3 2002,Extent,Combined,19.1
01 3 2002,Area,Combined,15.78
01 3 2003,Extent,North,15.48
01 3 2003,Extent,South,4.44
01 3 2003,Area,North,13.42
01 3 2003,Area,South,3.24
01 3 2003,Extent,Combined,19.92
01 3 2003,Area,Combined,16.66
01 3 2004,Extent,North,14.99
01 3 2004,Extent,South,4.53
01 3 2004,Area,North,12.99
01 3 2004,Area,South,3.16
01 3 2004,Extent,Combined,19.52
01 3 2004,Area,Combined,16.15
01 3 2005,Extent,North,14.69
01 3 2005,Extent,South,4.08
01 3 2005,Area,North,12.74
01 3 2005,Area,South,2.73
01 3 2005,Extent,Combined,18.77
01 3 2005,Area,Combined,15.47
01 3 2006,Extent,North,14.42
01 3 2006,Extent,South,3.21
01 3 2006,Area,North,12.52
01 3 2006,Area,South,2.01
01 3 2006,Extent,Combined,17.63
01 3 2006,Area,Combined,14.53
01 3 2007,Extent,North,14.54
01 3 2007,Extent,South,3.83
01 3 2007,Area,North,12.56
01 3 2007,Area,South,2.54
01 3 2007,Extent,Combined,18.37
01 3 2007,Area,Combined,15.1
01 3 2008,Extent,North,15.18
01 3 2008,Extent,South,5.28
01 3 2008,Area,North,13.53
01 3 2008,Area,South,3.68
01 3 2008,Extent,Combined,20.46
01 3 2008,Area,Combined,17.21
01 3 2009,Extent,North,14.98
01 3 2009,Extent,South,4.44
01 3 2009,Area,North,13.43
01 3 2009,Area,South,3.02
01 3 2009,Extent,Combined,19.42
01 3 2009,Area,Combined,16.45
01 3 2010,Extent,North,15.14
01 3 2010,Extent,South,3.85
01 3 2010,Area,North,13.53
01 3 2010,Area,South,2.66
01 3 2010,Extent,Combined,18.99
01 3 2010,Area,Combined,16.19
01 3 2011,Extent,North,14.55
01 3 2011,Extent,South,3.37
01 3 2011,Area,North,12.83
01 3 2011,Area,South,2.26
01 3 2011,Extent,Combined,17.92
01 3 2011,Area,Combined,15.09
01 3 2012,Extent,North,15.2
01 3 2012,Extent,South,4.55
01 3 2012,Area,North,13.41
01 3 2012,Area,South,2.91
01 3 2012,Extent,Combined,19.75
01 3 2012,Area,Combined,16.32
01 3 2013,Extent,North,15.03
01 3 2013,Extent,South,5.02
01 3 2013,Area,North,13.45
01 3 2013,Area,South,3.49
01 3 2013,Extent,Combined,20.05
01 3 2013,Area,Combined,16.94
01 3 2014,Extent,North,14.76
01 3 2014,Extent,South,4.9
01 3 2014,Area,North,12.95
01 3 2014,Area,South,3.32
01 3 2014,Extent,Combined,19.66
01 3 2014,Area,Combined,16.27
01 3 2015,Extent,North,14.37
01 3 2015,Extent,South,4.96
01 3 2015,Area,North,12.78
01 3 2015,Area,South,3.45
01 3 2015,Extent,Combined,19.33
01 3 2015,Area,Combined,16.23
01 3 2016,Extent,North,14.4
01 3 2016,Extent,South,4.07
01 3 2016,Area,North,12.61
01 3 2016,Area,South,2.77
01 3 2016,Extent,Combined,18.47
01 3 2016,Area,Combined,15.38
01 3 2017,Extent,North,14.29
01 3 2017,Extent,South,2.7
01 3 2017,Area,North,12.61
01 3 2017,Area,South,1.83
01 3 2017,Extent,Combined,16.99
01 3 2017,Area,Combined,14.44
01 3 2018,Extent,North,14.3
01 3 2018,Extent,South,3.54
01 3 2018,Area,North,12.69
01 3 2018,Area,South,2.31
01 3 2018,Extent,Combined,17.84
01 3 2018,Area,Combined,15
01 3 2019,Extent,North,14.57
01 3 2019,Extent,South,3.17
01 3 2019,Area,North,12.89
01 3 2019,Area,South,2.1
01 3 2019,Extent,Combined,17.74
01 3 2019,Area,Combined,14.99
01 3 2020,Extent,North,14.73
01 3 2020,Extent,South,4
01 3 2020,Area,North,13.03
01 3 2020,Area,South,2.59
01 3 2020,Extent,Combined,18.73
01 3 2020,Area,Combined,15.62
01 3 2021,Extent,North,14.64
01 3 2021,Extent,South,4.45
01 3 2021,Area,North,12.91
01 3 2021,Area,South,2.79
01 3 2021,Extent,Combined,19.09
01 3 2021,Area,Combined,15.7
01 4 1979,Extent,North,15.45
01 4 1979,Extent,South,7.49
01 4 1979,Area,North,12.53
01 4 1979,Area,South,5.45
01 4 1979,Extent,Combined,22.94
01 4 1979,Area,Combined,17.98
01 4 1980,Extent,North,15.43
01 4 1980,Extent,South,5.4
01 4 1980,Area,North,12.52
01 4 1980,Area,South,3.68
01 4 1980,Extent,Combined,20.83
01 4 1980,Area,Combined,16.2
01 4 1981,Extent,North,15.01
01 4 1981,Extent,South,5.84
01 4 1981,Area,North,12.24
01 4 1981,Area,South,4.07
01 4 1981,Extent,Combined,20.85
01 4 1981,Area,Combined,16.31
01 4 1982,Extent,North,15.47
01 4 1982,Extent,South,7.72
01 4 1982,Area,North,12.63
01 4 1982,Area,South,5.79
01 4 1982,Extent,Combined,23.19
01 4 1982,Area,Combined,18.42
01 4 1983,Extent,North,15.17
01 4 1983,Extent,South,6.47
01 4 1983,Area,North,12.21
01 4 1983,Area,South,4.7
01 4 1983,Extent,Combined,21.64
01 4 1983,Area,Combined,16.91
01 4 1984,Extent,North,15.01
01 4 1984,Extent,South,6.42
01 4 1984,Area,North,12.18
01 4 1984,Area,South,4.53
01 4 1984,Extent,Combined,21.43
01 4 1984,Area,Combined,16.71
01 4 1985,Extent,North,15.36
01 4 1985,Extent,South,6.49
01 4 1985,Area,North,12.54
01 4 1985,Area,South,4.74
01 4 1985,Extent,Combined,21.85
01 4 1985,Area,Combined,17.28
01 4 1986,Extent,North,15.06
01 4 1986,Extent,South,6.39
01 4 1986,Area,North,12.04
01 4 1986,Area,South,4.56
01 4 1986,Extent,Combined,21.45
01 4 1986,Area,Combined,16.6
01 4 1987,Extent,North,15.21
01 4 1987,Extent,South,6.8
01 4 1987,Area,North,12.35
01 4 1987,Area,South,5.04
01 4 1987,Extent,Combined,22.01
01 4 1987,Area,Combined,17.39
01 4 1988,Extent,North,15.12
01 4 1988,Extent,South,6.29
01 4 1988,Area,North,13.18
01 4 1988,Area,South,4.44
01 4 1988,Extent,Combined,21.41
01 4 1988,Area,Combined,17.62
01 4 1989,Extent,North,14.33
01 4 1989,Extent,South,6.31
01 4 1989,Area,North,12.36
01 4 1989,Area,South,4.5
01 4 1989,Extent,Combined,20.64
01 4 1989,Area,Combined,16.86
01 4 1990,Extent,North,14.65
01 4 1990,Extent,South,7
