UTC Time,Measure,Region,Value
01 1 2009,Area,Combined,15.82
01 1 2010,Extent,North,13.74
01 1 2010,Extent,South,4.96
01 1 2010,Area,North,12.04
01 1 2010,Area,South,3.33
01 1 2010,Extent,Combined,18.7
01 1 2010,Area,Combined,15.37
01 1 2011,Extent,North,13.46
01 1 2011,Extent,South,4.51
01 1 2011,Area,North,11.83
01 1 2011,Area,South,3.05
01 1 2011,Extent,Combined,17.97
01 1 2011,Area,Combined,14.88
01 1 2012,Extent,North,13.73
01 1 2012,Extent,South,5.65
01 1 2012,Area,North,12.21
01 1 2012,Area,South,3.71
01 1 2012,Extent,Combined,19.38
01 1 2012,Area,Combined,15.92
01 1 2013,Extent,North,13.7
01 1 2013,Extent,South,5.54
01 1 2013,Area,North,12.02
01 1 2013,Area,South,3.94
01 1 2013,Extent,Combined,19.24
01 1 2013,Area,Combined,15.96
01 1 2014,Extent,North,13.65
01 1 2014,Extent,South,6.33
01 1 2014,Area,North,12.1
01 1 2014,Area,South,4.38
01 1 2014,Extent,Combined,19.98
01 1 2014,Area,Combined,16.48
01 1 2015,Extent,North,13.6
01 1 2015,Extent,South,6.85
01 1 2015,Area,North,12.17
01 1 2015,Area,South,4.34
01 1 2015,Extent,Combined,20.45
01 1 2015,Area,Combined,16.51
01 1 2016,Extent,North,13.46
01 1 2016,Extent,South,4.69
01 1 2016,Area,North,11.8
01 1 2016,Area,South,3.03
01 1 2016,Extent,Combined,18.15
01 1 2016,Area,Combined,14.83
01 1 2017,Extent,North,13.19
01 1 2017,Extent,South,3.78
01 1 2017,Area,North,11.37
01 1 2017,Area,South,2.56
01 1 2017,Extent,Combined,16.97
01 1 2017,Area,Combined,13.93
01 1 2018,Extent,North,13.08
01 1 2018,Extent,South,4.21
01 1 2018,Area,North,11.7
01 1 2018,Area,South,2.69
01 1 2018,Extent,Combined,17.29
01 1 2018,Area,Combined,14.39
01 1 2019,Extent,North,13.57
01 1 2019,Extent,South,3.87
01 1 2019,Area,North,12.14
01 1 2019,Area,South,2.66
01 1 2019,Extent,Combined,17.44
01 1 2019,Area,Combined,14.8
01 1 2020,Extent,North,13.64
01 1 2020,Extent,South,4.6
01 1 2020,Area,North,12.15
01 1 2020,Area,South,3.09
01 1 2020,Extent,Combined,18.24
01 1 2020,Area,Combined,15.24
01 1 2021,Extent,North,13.48
01 1 2021,Extent,South,4.67
01 1 2021,Area,North,11.71
01 1 2021,Area,South,2.85
01 1 2021,Extent,Combined,18.15
01 1 2021,Area,Combined,14.56
01 10 1979,Extent,North,8.75
01 10 1979,Extent,South,17.82
01 10 1979,Area,North,6.19
01 10 1979,Area,South,13.72
01 10 1979,Extent,Combined,26.57
01 10 1979,Area,Combined,19.91
01 10 1980,Extent,North,9.18
01 10 1980,Extent,South,18.57
01 10 1980,Area,North,6.5
01 10 1980,Area,South,14.57
01 10 1980,Extent,Combined,27.75
01 10 1980,Area,Combined,21.07
01 10 1981,Extent,North,8.86
01 10 1981,Extent,South,18.29
01 10 1981,Area,North,6.27
01 10 1981,Area,South,14.43
01 10 1981,Extent,Combined,27.15
01 10 1981,Area,Combined,20.7
01 10 1982,Extent,North,9.42
01 10 1982,Extent,South,17.79
01 10 1982,Area,North,6.67
01 10 1982,Area,South,13.74
01 10 1982,Extent,Combined,27.21
01 10 1982,Area,Combined,20.41
01 10 1983,Extent,North,9.33
01 10 1983,Extent,South,17.92
01 10 1983,Area,North,6.79
01 10 1983,Area,South,13.92
01 10 1983,Extent,Combined,27.25
01 10 1983,Area,Combined,20.71
01 10 1984,Extent,North,8.56
01 10 1984,Extent,South,17.57
01 10 1984,Area,North,5.91
01 10 1984,Area,South,13.73
01 10 1984,Extent,Combined,26.13
01 10 1984,Area,Combined,19.64
01 10 1985,Extent,North,8.55
01 10 1985,Extent,South,18.2
01 10 1985,Area,North,6.12
01 10 1985,Area,South,14.37
01 10 1985,Extent,Combined,26.75
01 10 1985,Area,Combined,20.49
01 10 1986,Extent,North,9.48
01 10 1986,Extent,South,17.18
01 10 1986,Area,North,6.83
01 10 1986,Area,South,13.32
01 10 1986,Extent,Combined,26.66
01 10 1986,Area,Combined,20.15
01 10 1987,Extent,North,9.05
01 10 1987,Extent,South,17.67
01 10 1987,Area,North,7.49
01 10 1987,Area,South,13.71
01 10 1987,Extent,Combined,26.72
01 10 1987,Area,Combined,21.2
01 10 1988,Extent,North,9.13
01 10 1988,Extent,South,18.36
01 10 1988,Area,North,7.52
01 10 1988,Area,South,14.41
01 10 1988,Extent,Combined,27.49
01 10 1988,Area,Combined,21.93
01 10 1989,Extent,North,8.83
01 10 1989,Extent,South,17.86
01 10 1989,Area,North,6.96
01 10 1989,Area,South,13.85
01 10 1989,Extent,Combined,26.69
01 10 1989,Area,Combined,20.81
01 10 1990,Extent,North,8.48
01 10 1990,Extent,South,17.95
01 10 1990,Area,North,6.74
01 10 1990,Area,South,13.8
01 10 1990,Extent,Combined,26.43
01 10 1990,Area,Combined,20.54
01 10 1991,Extent,North,8.54
01 10 1991,Extent,South,17.92
01 10 1991,Area,North,6.75
01 10 1991,Area,South,13.8
01 10 1991,Extent,Combined,26.46
01 10 1991,Area,Combined,20.55
01 10 1992,Extent,North,9.32
01 10 1992,Extent,South,17.93
01 10 1992,Area,North,7.74
01 10 1992,Area,South,13.85
01 10 1992,Extent,Combined,27.25
01 10 1992,Area,Combined,21.59
01 10 1993,Extent,North,8.79
01 10 1993,Extent,South,18.13
01 10 1993,Area,North,7.06
01 10 1993,Area,South,14.17
01 10 1993,Extent,Combined,26.92
01 10 1993,Area,Combined,21.23
01 10 1994,Extent,North,8.92
01 10 1994,Extent,South,18.09
01 10 1994,Area,North,7.23
01 10 1994,Area,South,14.07
01 10 1994,Extent,Combined,27.01
01 10 1994,Area,Combined,21.3
01 10 1995,Extent,North,7.83
01 10 1995,Extent,South,18.03
01 10 1995,Area,North,5.99
01 10 1995,Area,South,13.57
01 10 1995,Extent,Combined,25.86
01 10 1995,Area,Combined,19.56
01 10 1996,Extent,North,9.16
01 10 1996,Extent,South,17.96
01 10 1996,Area,North,7.54
01 10 1996,Area,South,13.94
01 10 1996,Extent,Combined,27.12
01 10 1996,Area,Combined,21.48
01 10 1997,Extent,North,8.34
01 10 1997,Extent,South,17.99
01 10 1997,Area,North,6.47
01 10 1997,Area,South,14.12
01 10 1997,Extent,Combined,26.33
01 10 1997,Area,Combined,20.59
01 10 1998,Extent,North,8.45
01 10 1998,Extent,South,18.66
01 10 1998,Area,North,6.71
01 10 1998,Area,South,14.54
01 10 1998,Extent,Combined,27.11
01 10 1998,Area,Combined,21.25
01 10 1999,Extent,North,8.6
01 10 1999,Extent,South,18.35
01 10 1999,Area,North,6.83
01 10 1999,Area,South,14.23
01 10 1999,Extent,Combined,26.95
01 10 1999,Area,Combined,21.06
01 10 2000,Extent,North,8.38
01 10 2000,Extent,South,18.13
01 10 2000,Area,North,6.69
01 10 2000,Area,South,14.26
01 10 2000,Extent,Combined,26.51
01 10 2000,Area,Combined,20.95
01 10 2001,Extent,North,8.3
01 10 2001,Extent,South,17.73
01 10 2001,Area,North,6.65
01 10 2001,Area,South,13.34
01 10 2001,Extent,Combined,26.03
01 10 2001,Area,Combined,19.99
01 10 2002,Extent,North,8.16
01 10 2002,Extent,South,17.87
01 10 2002,Area,North,6.24
01 10 2002,Area,South,13.82
01 10 2002,Extent,Combined,26.03
01 10 2002,Area,Combined,20.06
01 10 2003,Extent,North,7.85
01 10 2003,Extent,South,18.2
01 10 2003,Area,North,5.98
01 10 2003,Area,South,13.87
01 10 2003,Extent,Combined,26.05
01 10 2003,Area,Combined,19.85
01 10 2004,Extent,North,7.93
01 10 2004,Extent,South,18.46
01 10 2004,Area,North,6.4
01 10 2004,Area,South,14.12
01 10 2004,Extent,Combined,26.39
01 10 2004,Area,Combined,20.52
01 10 2005,Extent,North,7.35
01 10 2005,Extent,South,18.48
01 10 2005,Area,North,5.78
01 10 2005,Area,South,14.04
01 10 2005,Extent,Combined,25.83
01 10 2005,Area,Combined,19.82
01 10 2006,Extent,North,7.54
01 10 2006,Extent,South,18.73
01 10 2006,Area,North,5.8
01 10 2006,Area,South,14.68
01 10 2006,Extent,Combined,26.27
01 10 2006,Area,Combined,20.48
01 10 2007,Extent,North,6.04
01 10 2007,Extent,South,18.51
01 10 2007,Area,North,4.33
01 10 2007,Area,South,14.59
01 10 2007,Extent,Combined,24.55
01 10 2007,Area,Combined,18.92
01 10 2008,Extent,North,7.35
01 10 2008,Extent,South,17.99
01 10 2008,Area,North,5.77
01 10 2008,Area,South,14.12
01 10 2008,Extent,Combined,25.34
01 10 2008,Area,Combined,19.89
01 10 2009,Extent,North,6.92
01 10 2009,Extent,South,18.3
01 10 2009,Area,North,5.24
01 10 2009,Area,South,14.35
01 10 2009,Extent,Combined,25.22
01 10 2009,Area,Combined,19.59
01 10 2010,Extent,North,6.98
01 10 2010,Extent,South,18.65
01 10 2010,Area,North,5.48
01 10 2010,Area,South,14.41
01 10 2010,Extent,Combined,25.63
01 10 2010,Area,Combined,19.89
01 10 2011,Extent,North,6.46
01 10 2011,Extent,South,18.22
01 10 2011,Area,North,5.02
01 10 2011,Area,South,14.23
01 10 2011,Extent,Combined,24.68
01 10 2011,Area,Combined,19.25
01 10 2012,Extent,North,5.89
01 10 2012,Extent,South,18.59
01 10 2012,Area,North,4.58
01 10 2012,Area,South,14.45
01 10 2012,Extent,Combined,24.48
01 10 2012,Area,Combined,19.03
01 10 2013,Extent,North,7.45
01 10 2013,Extent,South,19.02
01 10 2013,Area,North,5.95
01 10 2013,Area,South,15.13
01 10 2013,Extent,Combined,26.47
01 10 2013,Area,Combined,21.08
01 10 2014,Extent,North,7.23
01 10 2014,Extent,South,19
01 10 2014,Area,North,5.7
01 10 2014,Area,South,14.83
01 10 2014,Extent,Combined,26.23
01 10 2014,Area,Combined,20.53
01 10 2015,Extent,North,6.97
01 10 2015,Extent,South,18.41
01 10 2015,Area,North,5.49
01 10 2015,Area,South,14.36
01 10 2015,Extent,Combined,25.38
01 10 2015,Area,Combined,19.85
01 10 2016,Extent,North,6.08
01 10 2016,Extent,South,17.46
01 10 2016,Area,North,4.4
01 10 2016,Area,South,12.94
01 10 2016,Extent,Combined,23.54
01 10 2016,Area,Combined,17.34
01 10 2017,Extent,North,6.77
01 10 2017,Extent,South,17.78
01 10 2017,Area,North,5.3
01 10 2017,Area,South,13.45
01 10 2017,Extent,Combined,24.55
01 10 2017,Area,Combined,18.75
01 10 2018,Extent,North,6.13
01 10 2018,Extent,South,17.73
01 10 2018,Area,North,4.59
01 10 2018,Area,South,13.99
01 10 2018,Extent,Combined,23.86
01 10 2018,Area,Combined,18.58
01 10 2019,Extent,North,5.73
01 10 2019,Extent,South,17.94
01 10 2019,Area,North,4.53
01 10 2019,Area,South,13.9
01 10 2019,Extent,Combined,23.67
01 10 2019,Area,Combined,18.43
01 10 2020,Extent,North,5.33
01 10 2020,Extent,South,18.49
01 10 2020,Area,North,4.11
01 10 2020,Area,South,14.6
01 10 2020,Extent,Combined,23.82
01 10 2020,Area,Combined,18.71
01 10 2021,Extent,North,6.77
01 10 2021,Extent,South,17.63
01 10 2021,Area,North,5.41
01 10 2021,Area,South,13.29
01 10 2021,Extent,Combined,24.4
01 10 2021,Area,Combined,18.7
01 11 1978,Extent,North,11.65
01 11 1978,Extent,South,15.9
01 11 1978,Area,North,9.04
01 11 1978,Area,South,11.69
01 11 1978,Extent,Combined,27.55
01 11 1978,Area,Combined,20.73
01 11 1979,Extent,North,10.94
01 11 1979,Extent,South,15.34
01 11 1979,Area,North,8.37
01 11 1979,Area,South,11.32
01 11 1979,Extent,Combined,26.28
01 11 1979,Area,Combined,19.69
01 11 1980,Extent,North,11.38
01 11 1980,Extent,South,16.13
01 11 1980,Area,North,8.73
01 11 1980,Area,South,11.84
01 11 1980,Extent,Combined,27.51
01 11 1980,Area,Combined,20.57
01 11 1981,Extent,North,10.93
01 11 1981,Extent,South,16.11
01 11 1981,Area,North,8.31
01 11 1981,Area,South,12.07
01 11 1981,Extent,Combined,27.04
01 11 1981,Area,Combined,20.38
01 11 1982,Extent,North,11.63
01 11 1982,Extent,South,15.54
01 11 1982,Area,North,9.06
01 11 1982,Area,South,11.27
01 11 1982,Extent,Combined,27.17
01 11 1982,Area,Combined,20.33
01 11 1983,Extent,North,11.46
01 11 1983,Extent,South,16.01
01 11 1983,Area,North,8.99
01 11 1983,Area,South,11.57
01 11 1983,Extent,Combined,27.47
01 11 1983,Area,Combined,20.56
01 11 1984,Extent,North,10.84
01 11 1984,Extent,South,16.13
01 11 1984,Area,North,8.24
01 11 1984,Area,South,12.06
01 11 1984,Extent,Combined,26.97
01 11 1984,Area,Combined,20.3
01 11 1985,Extent,North,11.02
01 11 1985,Extent,South,16.14
01 11 1985,Area,North,8.42
01 11 1985,Area,South,12.34
01 11 1985,Extent,Combined,27.16
01 11 1985,Area,Combined,20.76
01 11 1986,Extent,North,11.45
01 11 1986,Extent,South,15.01
01 11 1986,Area,North,8.87
01 11 1986,Area,South,10.87
01 11 1986,Extent,Combined,26.46
01 11 1986,Area,Combined,19.74
01 11 1987,Extent,North,11.22
01 11 1987,Extent,South,15.58
01 11 1987,Area,North,9.73
01 11 1987,Area,South,11.23
01 11 1987,Extent,Combined,26.8
01 11 1987,Area,Combined,20.96
01 11 1988,Extent,North,11.33
01 11 1988,Extent,South,16.15
01 11 1988,Area,North,9.91
01 11 1988,Area,South,12.29
01 11 1988,Extent,Combined,27.48
01 11 1988,Area,Combined,22.2
01 11 1989,Extent,North,11.12
01 11 1989,Extent,South,15.73
01 11 1989,Area,North,9.46
01 11 1989,Area,South,11.42
01 11 1989,Extent,Combined,26.85
01 11 1989,Area,Combined,20.88
01 11 1990,Extent,North,11.08
01 11 1990,Extent,South,15.47
01 11 1990,Area,North,9.64
01 11 1990,Area,South,11.35
01 11 1990,Extent,Combined,26.55
01 11 1990,Area,Combined,20.99
01 11 1991,Extent,North,10.88
01 11 1991,Extent,South,15.58
01 11 1991,Area,North,9.25
01 11 1991,Area,South,11.46
01 11 1991,Extent,Combined,26.46
01 11 1991,Area,Combined,20.71
01 11 1992,Extent,North,11.38
01 11 1992,Extent,South,15.9
01 11 1992,Area,North,9.75
01 11 1992,Area,South,11.2
01 11 1992,Extent,Combined,27.28
01 11 1992,Area,Combined,20.95
01 11 1993,Extent,North,11.32
01 11 1993,Extent,South,16.04
01 11 1993,Area,North,9.54
01 11 1993,Area,South,11.83
01 11 1993,Extent,Combined,27.36
01 11 1993,Area,Combined,21.37
01 11 1994,Extent,North,11.12
01 11 1994,Extent,South,15.88
01 11 1994,Area,North,9.71
01 11 1994,Area,South,11.78
01 11 1994,Extent,Combined,27
01 11 1994,Area,Combined,21.49
01 11 1995,Extent,North,10.76
01 11 1995,Extent,South,15.63
01 11 1995,Area,North,9.03
01 11 1995,Area,South,11.49
01 11 1995,Extent,Combined,26.39
01 11 1995,Area,Combined,20.52
01 11 1996,Extent,North,10.4
01 11 1996,Extent,South,15.72
01 11 1996,Area,North,8.77
01 11 1996,Area,South,11.24
01 11 1996,Extent,Combined,26.12
01 11 1996,Area,Combined,20.01
01 11 1997,Extent,North,10.68
01 11 1997,Extent,South,15.73
01 11 1997,Area,North,9.07
01 11 1997,Area,South,11.59
01 11 1997,Extent,Combined,26.41
01 11 1997,Area,Combined,20.66
01 11 1998,Extent,North,10.44
01 11 1998,Extent,South,16.3
01 11 1998,Area,North,8.88
01 11 1998,Area,South,11.88
01 11 1998,Extent,Combined,26.74
01 11 1998,Area,Combined,20.76
01 11 1999,Extent,North,10.8
01 11 1999,Extent,South,15.96
01 11 1999,Area,North,9.26
01 11 1999,Area,South,11.51
01 11 1999,Extent,Combined,26.76
01 11 1999,Area,Combined,20.77
01 11 2000,Extent,North,10.32
01 11 2000,Extent,South,15.76
01 11 2000,Area,North,8.87
01 11 2000,Area,South,11.81
01 11 2000,Extent,Combined,26.08
01 11 2000,Area,Combined,20.68
01 11 2001,Extent,North,10.66
01 11 2001,Extent,South,15.61
01 11 2001,Area,North,9.08
01 11 2001,Area,South,11
01 11 2001,Extent,Combined,26.27
01 11 2001,Area,Combined,20.08
01 11 2002,Extent,North,10.34
01 11 2002,Extent,South,15.41
01 11 2002,Area,North,8.75
01 11 2002,Area,South,11.67
01 11 2002,Extent,Combined,25.75
01 11 2002,Area,Combined,20.42
01 11 2003,Extent,North,10.13
01 11 2003,Extent,South,16.11
01 11 2003,Area,North,8.57
01 11 2003,Area,South,11.47
01 11 2003,Extent,Combined,26.24
01 11 2003,Area,Combined,20.04
01 11 2004,Extent,North,10.34
01 11 2004,Extent,South,16.08
01 11 2004,Area,North,8.95
01 11 2004,Area,South,11.75
01 11 2004,Extent,Combined,26.42
01 11 2004,Area,Combined,20.7
01 11 2005,Extent,North,10.22
01 11 2005,Extent,South,16.32
01 11 2005,Area,North,8.8
01 11 2005,Area,South,11.8
01 11 2005,Extent,Combined,26.54
01 11 2005,Area,Combined,20.6
01 11 2006,Extent,North,9.66
01 11 2006,Extent,South,16.23
01 11 2006,Area,North,8.13
01 11 2006,Area,South,11.61
01 11 2006,Extent,Combined,25.89
01 11 2006,Area,Combined,19.74
01 11 2007,Extent,North,9.76
01 11 2007,Extent,South,15.89
01 11 2007,Area,North,8.06
01 11 2007,Area,South,12.16
01 11 2007,Extent,Combined,25.65
01 11 2007,Area,Combined,20.22
01 11 2008,Extent,North,10.34
01 11 2008,Extent,South,16.25
01 11 2008,Area,North,9.05
01 11 2008,Area,South,12.01
01 11 2008,Extent,Combined,26.59
01 11 2008,Area,Combined,21.06
01 11 2009,Extent,North,9.77
01 11 2009,Extent,South,15.85
01 11 2009,Area,North,8.36
01 11 2009,Area,South,11.8
01 11 2009,Extent,Combined,25.62
01 11 2009,Area,Combined,20.16
